shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.703850,37.644560,134.0,0.00,53,9.0,65,8.9,0.1,-43.3
55.703910,37.643870,134.0,0.00,57,8.9,65,8.9,0.1,-29.8
55.704020,37.642670,134.0,0.00,58,8.9,65,8.9,0.1,-26.3
55.704410,37.638600,124.0,-3.87,55,9.7,66.6,9.9,-0.2,-43.1
55.704560,37.636970,123.0,-0.97,51,9.1,65,9.0,0.1,-49.6
55.704710,37.635340,122.0,-0.97,47,9.1,63,9.0,0.1,-53.8
55.705220,37.630260,124.0,0.62,43,9.2,63,8.9,0.3,-64.8
55.705590,37.626510,126.0,0.84,46,9.1,63,8.9,0.2,-56.6
55.705680,37.625700,126.0,0.00,51,9.0,65,8.9,0.1,-49.6
55.705860,37.623740,128.0,1.61,46,9.2,60.6,8.9,0.3,-47.6
55.705890,37.623310,128.0,0.00,42,9.1,63,8.9,0.2,-67.4
55.705910,37.622920,128.0,0.00,42,9.1,63,8.9,0.2,-67.4
55.705930,37.622420,129.0,3.18,45,9.7,58.2,9.3,0.4,-41.6
55.705920,37.621950,129.0,0.00,42,9.1,63,8.9,0.2,-67.4
55.705900,37.621580,129.0,0.00,37,9.3,63,8.9,0.4,-79.4
55.705860,37.621160,129.0,0.00,35,9.4,63,8.9,0.5,-83.8
55.705800,37.620750,131.0,7.54,34,12.1,58,11.8,0.3,-40.2
55.705730,37.620420,131.0,0.00,31,9.6,63,8.9,0.8,-91.9
55.705660,37.620140,131.0,0.00,33,9.5,63,8.9,0.6,-88.0
55.705550,37.619750,131.0,0.00,33,9.5,63,8.9,0.6,-88.0
55.705440,37.619410,131.0,0.00,32,9.6,63,8.9,0.7,-90.0
55.705310,37.619090,131.0,0.00,34,9.4,63,8.9,0.6,-86.0
55.705170,37.618800,131.0,0.00,3,11.9,63,8.9,3.1,-121.0
55.704850,37.618210,130.0,-1.95,42,9.2,62.3,9.2,0.1,-64.7
55.704680,37.617920,130.0,0.00,5,11.7,63,8.9,2.9,-120.5
55.704480,37.617640,130.0,0.00,39,9.2,63,8.9,0.3,-74.8
55.704160,37.617230,130.0,0.00,43,9.1,63,8.9,0.2,-64.8
55.703650,37.616680,130.0,0.00,39,9.2,63,8.9,0.3,-74.8
55.703280,37.616290,131.0,2.09,42,9.5,58,9.0,0.5,-48.5
55.703110,37.616110,131.0,0.00,42,9.1,63,8.9,0.2,-67.4
55.702900,37.615860,131.0,0.00,44,9.1,63,8.9,0.2,-62.1
55.702690,37.615580,131.0,0.00,41,9.1,63,8.9,0.3,-69.9
55.702500,37.615290,131.0,0.00,43,9.1,63,8.9,0.2,-64.8
55.702290,37.614960,131.0,0.00,42,9.1,63,8.9,0.2,-67.4
55.702060,37.614500,130.0,-2.60,43,9.3,63.1,9.4,-0.1,-65.2
55.701810,37.613890,130.0,0.00,39,9.2,63,8.9,0.3,-74.8
55.701680,37.613510,130.0,0.00,39,9.2,63,8.9,0.3,-74.8
55.701490,37.612940,130.0,0.00,34,9.4,63,8.9,0.6,-86.0
55.701330,37.612300,130.0,0.00,33,9.5,63,8.9,0.6,-88.0
55.701260,37.611960,130.0,0.00,34,9.4,63,8.9,0.6,-86.0
55.701190,37.611510,130.0,0.00,29,9.8,63,8.9,0.9,-95.6
55.701130,37.610980,130.0,0.00,26,10.0,63,8.9,1.1,-100.6
55.701100,37.610540,130.0,0.00,21,10.3,63,8.9,1.4,-107.8
55.701100,37.610090,128.0,-7.09,24,11.9,68,11.3,0.6,-125.8
55.701100,37.609710,128.0,0.00,23,10.2,63,8.9,1.3,-105.1
55.701120,37.609310,128.0,0.00,20,10.4,63,8.9,1.5,-109.1
55.701160,37.608910,128.0,0.00,20,10.4,63,8.8,1.5,-109.1
55.701220,37.608440,128.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.701320,37.607890,133.0,13.81,21,16.8,58,16.2,0.5,-51.2
55.701470,37.607300,133.0,0.00,20,10.4,63,8.9,1.5,-109.1
55.701640,37.606740,133.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.702300,37.604770,134.0,0.70,21,10.4,63,8.8,1.6,-107.8
55.702680,37.603540,131.0,-3.41,20,10.6,64.1,9.7,0.9,-113.3
55.702950,37.602550,131.0,0.00,23,10.1,63,8.8,1.3,-105.1
55.703490,37.600540,137.0,4.30,0,12.7,58,9.7,3.0,-90.8
55.703830,37.599240,144.0,7.80,39,12.0,53,11.8,0.2,-33.9
55.704000,37.598640,144.0,0.00,38,9.2,58,8.9,0.3,-77.2
55.704400,37.597220,145.0,1.01,40,9.3,59.5,8.9,0.4,-59.3
55.705630,37.592860,146.0,0.33,42,9.1,63,8.8,0.3,-67.4
55.706140,37.591060,146.0,0.00,41,9.1,63,8.8,0.3,-69.9
55.706210,37.590840,146.0,0.00,11,11.1,63,8.8,2.3,-117.6
55.706420,37.590160,145.0,-2.06,20,10.3,62.5,9.2,1.1,-107.1
55.706520,37.589820,145.0,0.00,23,10.1,63,8.8,1.3,-105.1
55.706700,37.589260,148.0,7.43,20,12.6,58,11.7,0.9,-63.9
55.706830,37.588840,148.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.706920,37.588520,148.0,0.00,22,10.2,63,8.8,1.4,-106.5
55.707160,37.587860,148.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.707370,37.587260,146.0,-4.52,29,10.4,65.4,10.1,0.3,-105.0
55.707780,37.586350,146.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.708030,37.585860,146.0,0.00,25,10.0,63,8.8,1.2,-102.2
55.708860,37.584420,145.0,-0.77,26,9.8,63,8.9,0.9,-100.6
55.710290,37.582350,146.0,0.49,26,10.0,63,8.8,1.2,-100.6
55.710840,37.581560,147.0,1.27,28,10.0,59.1,8.9,1.1,-82.8
55.712060,37.580040,145.0,-1.21,32,9.4,61.4,9.0,0.4,-83.9
55.712730,37.579190,145.0,0.00,28,9.8,63,8.8,1.0,-97.3
55.713380,37.578320,119.0,-28.72,23,26.1,68,27.0,-0.8,-133.6
55.715150,37.575860,127.0,3.20,20,11.0,63,9.2,1.8,-84.3
55.715370,37.575480,127.0,0.00,20,10.4,63,8.8,1.5,-109.1
55.715540,37.575070,127.0,0.00,20,10.4,63,8.8,1.5,-109.1
55.715810,37.574470,128.0,2.08,24,10.5,58,8.9,1.5,-84.8
55.716980,37.571610,127.0,-0.45,20,10.4,63,8.9,1.5,-109.1
55.717200,37.571070,127.0,0.00,20,10.4,63,8.8,1.5,-109.1
55.718070,37.568500,123.0,-2.13,24,10.0,62.6,9.2,0.8,-102.1
55.719100,37.565200,125.0,0.85,23,10.3,63,8.8,1.5,-105.1
55.719130,37.565100,125.0,0.00,0,12.2,63,8.8,3.4,-121.3
55.720160,37.561920,124.0,-0.44,42,9.1,63,8.9,0.2,-67.4
55.720840,37.559690,127.0,1.89,45,9.3,58.2,8.9,0.4,-41.6
55.720960,37.559240,127.0,0.00,50,9.0,63.2,8.8,0.1,-52.7
55.721630,37.556680,126.0,-0.57,45,9.0,63,8.9,0.2,-59.4
55.722080,37.555310,122.0,-4.03,46,9.7,64.8,9.9,-0.2,-63.6
55.722360,37.554590,122.0,0.00,51,8.9,65,8.8,0.1,-49.6
55.722630,37.553960,121.0,-2.02,46,9.2,62.4,9.2,-0.0,-54.3
55.722780,37.553630,121.0,0.00,46,9.0,63,8.8,0.2,-56.6
55.722960,37.553270,125.0,13.27,46,15.7,58,15.8,-0.1,-5.7
55.723270,37.552680,125.0,0.00,50,8.9,63,8.8,0.1,-52.7
55.723580,37.552140,125.0,0.00,55,8.9,65,8.8,0.1,-36.7
55.723920,37.551630,124.0,-2.02,58,9.1,64.4,9.2,-0.1,-23.9
55.724290,37.551100,124.0,0.00,60,8.8,65,8.8,0.0,-19.1
55.724600,37.550690,124.0,0.00,58,8.9,65,8.8,0.1,-26.3
55.724860,37.550380,124.0,0.00,54,8.9,65,8.8,0.1,-40.0
55.725570,37.549620,129.0,5.42,59,10.4,60,10.4,-0.0,14.3
55.726510,37.548720,129.0,0.00,57,8.9,65,8.8,0.1,-29.8
55.729460,37.545860,127.0,-0.54,58,8.9,65,8.9,0.0,-26.3
55.730990,37.544360,127.0,0.00,54,8.9,65,8.8,0.1,-40.0
55.731300,37.544070,129.0,5.13,51,10.2,60,10.2,0.0,-14.0
55.731550,37.543890,129.0,0.00,46,9.0,63,8.8,0.2,-56.6
55.731700,37.543800,129.0,0.00,50,8.9,65,8.8,0.1,-52.7
55.731930,37.543710,125.0,-15.27,51,16.6,70,16.7,-0.1,-70.2
55.732520,37.543520,125.0,0.00,48,9.0,65,8.8,0.2,-50.9
55.733020,37.543440,125.0,0.00,47,9.0,63,8.8,0.2,-53.8
55.733060,37.543430,125.0,0.00,52,8.9,65,8.8,0.1,-46.5
55.733390,37.543340,129.0,10.77,52,14.0,60,14.0,-0.1,12.2
55.733600,37.543260,129.0,0.00,57,8.9,65,8.8,0.1,-29.8
55.733650,37.543240,129.0,0.00,52,8.9,65,8.8,0.1,-46.5
55.734030,37.543030,129.0,0.00,55,8.9,65,8.8,0.1,-36.7
55.734210,37.542910,129.0,0.00,52,8.9,65,8.8,0.1,-46.5
55.734640,37.542550,129.0,0.00,50,8.9,65,8.8,0.1,-52.7
