shirota,dolgota,elevation,slope_percent,current_speed,current_fuel_consumption,smart_optimal_speed,smart_optimal_fuel_consumption,fuel_saving,energy_saving
55.753620,37.622510,148.0,0.00,52,9.0,65,8.8,0.2,-46.5
55.753620,37.622510,148.0,0.00,49,9.0,63,8.8,0.2,-47.9
55.753590,37.622500,148.0,0.00,46,9.1,63,8.8,0.2,-56.6
55.753550,37.622500,148.0,0.00,41,9.1,63,8.8,0.3,-69.9
55.753520,37.622520,148.0,0.00,44,9.1,63,8.8,0.3,-62.1
55.753480,37.622570,148.0,0.00,44,9.1,63,8.8,0.3,-62.1
55.753430,37.622630,148.0,0.00,42,9.1,63,8.8,0.3,-67.4
55.753320,37.622790,148.0,0.00,46,9.0,63,8.8,0.3,-56.6
55.753260,37.622870,148.0,0.00,41,9.1,63,8.8,0.3,-69.9
55.753160,37.623010,150.0,14.13,37,16.6,58,16.5,0.1,-28.6
55.753030,37.623200,150.0,0.00,40,9.1,63,8.8,0.4,-72.4
55.752760,37.623580,150.0,0.00,35,9.3,63,8.8,0.5,-83.8
55.752660,37.623710,150.0,0.00,38,9.2,63,8.8,0.4,-77.2
55.752570,37.623800,150.0,0.00,35,9.3,63,8.7,0.5,-83.8
55.752500,37.623870,150.0,0.00,31,9.5,63,8.7,0.8,-91.9
55.752370,37.623970,150.0,0.00,0,12.2,63,8.7,3.4,-121.3
55.752310,37.624020,150.0,0.00,37,9.2,63,8.7,0.5,-79.4
55.752260,37.624050,150.0,0.00,33,9.4,63,8.7,0.7,-88.0
55.752220,37.624080,150.0,0.00,36,9.2,63,8.7,0.5,-81.7
55.752150,37.624120,150.0,0.00,40,9.1,63,8.7,0.4,-72.4
55.752050,37.624160,135.0,-131.60,42,104.1,68,104.6,-0.5,-95.8
55.751940,37.624160,135.0,0.00,41,9.1,63,8.8,0.3,-69.9
55.751860,37.624170,135.0,0.00,46,8.9,63,8.7,0.2,-56.6
55.751520,37.624130,135.0,0.00,42,9.0,63,8.7,0.3,-67.4
55.751340,37.624140,135.0,0.00,47,8.9,63,8.7,0.2,-53.8
55.751240,37.624160,135.0,0.00,43,9.0,63,8.7,0.3,-64.8
55.749950,37.624310,120.0,-10.43,48,13.2,68,13.2,0.0,-79.3
55.748200,37.624480,120.0,0.00,44,9.0,63,8.7,0.2,-62.1
55.746940,37.624610,130.0,7.13,47,11.3,58,11.4,-0.0,-16.1
55.746810,37.624620,130.0,0.00,44,8.9,63,8.7,0.2,-62.1
55.746560,37.624640,130.0,0.00,43,9.0,63,8.7,0.3,-64.8
55.746510,37.624640,130.0,0.00,44,8.9,63,8.7,0.2,-62.1
55.746370,37.624660,130.0,0.00,43,9.0,63,8.7,0.3,-64.8
55.746230,37.624660,130.0,0.00,46,8.9,63,8.7,0.2,-56.6
55.746180,37.624670,130.0,0.00,41,9.0,63,8.7,0.3,-69.9
55.745890,37.624690,130.0,0.00,42,9.0,63,8.7,0.3,-67.4
55.745850,37.624700,130.0,0.00,5,11.7,63,8.7,3.0,-120.5
55.745740,37.624680,125.0,-40.67,40,35.4,68,36.1,-0.7,-100.8
55.745650,37.624630,125.0,0.00,35,9.2,63,8.7,0.6,-83.8
55.745590,37.624610,125.0,0.00,31,9.5,63,8.7,0.8,-91.9
55.745510,37.624570,125.0,0.00,28,9.7,63,8.6,1.0,-97.3
55.745330,37.624550,125.0,0.00,29,9.6,63,8.6,1.0,-95.6
55.745150,37.624570,125.0,0.00,26,9.8,63,8.6,1.2,-100.6
55.745090,37.624580,125.0,0.00,25,9.9,63,8.6,1.2,-102.2
55.745000,37.624610,125.0,0.00,20,10.3,63,8.6,1.7,-109.1
55.744760,37.624680,125.0,0.00,20,10.3,63,8.6,1.7,-109.1
55.744580,37.624740,125.0,0.00,20,10.3,63,8.6,1.7,-109.1
55.744490,37.624760,125.0,0.00,20,10.3,63,8.6,1.7,-109.1
55.744470,37.624770,125.0,0.00,20,10.3,63,8.6,1.7,-109.1
55.744270,37.624820,125.0,0.00,21,10.2,63,8.6,1.6,-107.8
